# {"analyzer":"char_wb","feature_count":30000,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.1839083824695178,-7.725111325800931,-5.398444811609162,-5.926114894318232,-5.984136354105322,-5.46617221122413],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"char-wb-public-distill-30k-v1","ngram_range":[3,5],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/char-wb-public-distill-30k-v1/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.65,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
 #18	5.81736180565	0.00709888025565	-0.00225799492209	-0.00217804549482	-0.00319459247013	-0.00209004501446	-0.0020808930191
 #181	6.18955981277	0.00478425385055	-0.00206577909707	-0.00146231406486	-0.0025303768089	-0.00133321565389	-0.00133349539282
 #19	6.09872141236	0.0159801585119	-0.000624762878201	-0.0017290902443	-0.00147733660122	-0.0012286155204	-0.00161443645524
 #196	6.60117878646	0.0027813343881	-0.000377908028185	-0.00105436580434	-0.000988501320726	-0.000707695951026	-0.00102958360406
 #1a	4.90064833016	0.0253148777069	-0.00448209088861	-0.00741083090405	-0.00852703552739	-0.00551956095231	-0.00734277430301
 #1a1	5.66109919262	0.0120374979003	-0.00120420681764	-0.00285590557872	-0.00315055470609	-0.00249993032126	-0.00276791120087
 #1a7	5.59973024624	0.0164861612118	-0.00387297743149	-0.00549694460227	-0.0064713616639	-0.00369519607875	-0.00551438201771
 #1c	7.30362835968	0.00853473965484	-0.000733861255663	-0.00223493639171	-0.00172113068472	-0.00183481664343	-0.00168347599379
 #1c1	7.55761658634	0.0085453143904	-0.000720116777461	-0.00220359577813	-0.00168255324786	-0.00175024109402	-0.00163523523688
 #1d	7.08610806592	0.0043678202836	-0.000677130668418	-0.00191589075958	-0.0020224277602	-0.00136745051178	-0.00145414373878
 #1d9	7.5456403953	0.0037852647685	-0.00064863255838	-0.00188608280659	-0.00195764493891	-0.00132102777337	-0.00139297596072
 #1e	6.64373840088	0.00275870600383	-0.000550484861693	-0.000990347484847	-0.000763967392242	-0.000870235323374	-0.000947249393865
 #1e2	7.38133734401	0.00175953660714	-0.000467613947309	-0.000681662155078	-0.000497223850214	-0.000555429524524	-0.000648358928467
 #1f	6.24960944655	0.00987799741573	-0.00121151594802	-0.00249954626643	-0.00272689717833	-0.00220553457012	-0.00278050352998
 #1f1	6.6932534654	0.00852131333192	-0.00107318961648	-0.00207614206054	-0.00236252968973	-0.00178121994929	-0.00235402450367
 #1f2	7.81757411078	0.00210632151177	-0.000224252823242	-0.00058287486461	-0.000535296828767	-0.000570985961249	-0.0005870325948
 #2	4.04913283383	0.117816944974	-0.0185228406014	-0.0331347902212	-0.0353959386326	-0.0226110530714	-0.0359884319441
 #20	5.36173159394	0.0405750619337	-0.0100442694172	-0.0163559268102	-0.0161614877451	-0.00995109277416	-0.0160284230132
 #202	5.38890717932	0.0406407016189	-0.0100860274458	-0.0164163145341	-0.0162233581033	-0.00997597899471	-0.0160834823529
 #21	4.86087506796	0.0517767181846	-0.0023740517302	-0.0081549875041	-0.00869375479638	-0.00502178731362	-0.0090222315984
 #212	5.42823809138	0.0242414560362	-0.00227788300936	-0.00555835684099	-0.00721655379686	-0.00472847493136	-0.00843807977297
