# {"analyzer":"word","feature_count":5174,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.3641994678549927,-2.5786270743866337,-2.009297181560698,-2.679952608031897,-2.2421035257413657,-2.0937376794786706],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"word-sgd-native-v1","ngram_range":[1,2],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/word-sgd-onnx-t014/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.8,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
1034	9.04932062318	-0.020761810156	-0.00945693959642	-0.0130509883016	-0.0106502080108	0.0883830256327	-0.0112889746088
1054	9.04932062318	-0.0112899812546	-0.0104171434848	0.0219548650896	-0.00937516826024	-0.00911730385763	-0.00743626413336
1057	9.04932062318	0.00787547915232	-0.00802354504094	-0.00559887018335	-0.00685446622429	0.0362601430851	-0.00534734320799
1060	9.04932062318	0.0542627756381	-0.00827717641093	0.0477444592807	-0.0110927667749	-0.00994516656315	-0.00818919428127
1095	9.04932062318	-0.0182658289443	-0.0104419678642	-0.0166767502671	0.130801282754	-0.0100183792431	-0.0112428231586
1115	9.04932062318	-0.0109037497166	-0.00810390385551	-0.00560676575022	-0.0077351680624	0.0339868429142	-0.00811607789418
1136	9.04932062318	-0.0108588196079	0.0207936988929	-0.00878319539023	-0.0112485689435	-0.0112273949947	-0.0107422288901
1147	9.04932062318	-0.0202210536479	-0.00879652721384	-0.0163296595523	0.0318480262269	-0.0162180631691	0.0393786108287
1169	9.04932062318	-0.0057384034647	0.0238415805034	-0.00709770761138	-0.00897360730391	-0.00771911289907	0.00625272252786
386	9.04932062318	-0.0133658086323	-0.00727838564353	0.0163183160019	-0.0164448869816	-0.0131989456499	-0.0124505430565
489	9.04932062318	-0.0138799040355	0.0413152607942	-0.010254883244	-0.00735659285773	-0.00986467592555	0.00525096441415
541	9.04932062318	-0.00454866176522	-0.00420745331742	0.00746009879486	-0.00694659370209	-0.00432649236847	-0.00607569522812
547	9.04932062318	-0.0103853169139	-0.00962300712331	-0.0130873442248	0.060358476157	-0.00679131332776	-0.0103332125967
596	9.04932062318	0.00829767708944	-0.00852358387709	0.0407852314255	-0.00832098254799	-0.00788113769613	-0.0120980336277
599	9.04932062318	-0.0207763207517	-0.00808301275037	-0.0116613319451	-0.0133515897874	0.0406532683321	-0.00854677022812
628	9.04932062318	-0.0104832781087	-0.00686259940624	-0.00841484681632	-0.00800758470548	-0.0141134966985	0.0123367425565
687	9.04932062318	-0.0118411430016	-0.00889471698123	-0.0112110192767	-0.00882210076921	-0.00775152215992	0.0394239154565
718	9.04932062318	-0.0126937747916	-0.00641463969076	0.00399456658112	-0.0118776087675	-0.00780008362348	-0.010039095828
730	8.76163855073	-0.0191452224629	0.0140227793063	-0.0141774931624	-0.024267047927	-0.0145397845516	0.0379086480527
739	8.76163855073	-0.0191886730413	-0.0230833334509	-0.00990887148825	-0.0159861140867	0.0129307259684	-0.0807509032574
768	8.76163855073	-0.0206093191481	-0.0194872424495	-0.0234001319724	-0.0186049919731	-0.0191116956014	-0.0320164202514
783	9.04932062318	-0.0116067956167	0.0474782583328	-0.011866433334	-0.0114404310232	-0.0100058613071	-0.00996135189082
786	9.04932062318	-0.0073250790497	0.0293661270723	-0.00752174393767	-0.00594116516835	-0.00842143945096	-0.00851057620345
836	9.04932062318	-0.00482725068977	0.0121611207951	-0.00533444877349	-0.00685964984631	-0.00647705384973	-0.00479361293758
870	9.04932062318	0.0268444550063	-0.00631956658794	-0.00816320467108	-0.00689790126651	-0.00785044365181	0.0227817085012
878	9.04932062318	0.0197219062919	-0.00938041931896	-0.00882748538329	-0.00858002072445	0.0271605016636	-0.00773815281113
895	9.04932062318	-0.0134032193001	0.0352015690238	-0.00985087559244	-0.00979097605963	-0.00862744425948	-0.0108640619543
906	8.53849499941	0.0117826959353	-0.0283712848292	0.0280463040604	0.00263998791552	-0.0221854611388	-0.0193499915613
925	9.04932062318	-0.0128684599828	-0.00973041968316	-0.0137392844559	-0.0120975992362	-0.00943276359978	0.0206282593487
935	9.04932062318	-0.00322528907837	0.0283209678814	-0.00515200773215	-0.0134041938351	-0.00868354942275	-0.0051283745944
936	9.04932062318	0.0111723914427	-0.00785779848479	-0.00990035599935	0.0681249605098	-0.0143676944061	-0.00867435543565
